transaction_amount,transaction_velocity,account_age_days,device_fingerprint,time_of_day,counterparty_trust_score,is_anomaly,generated_at
22345.67,2,89.3,5432,14,70.2,0,2024-01-15T10:30:00
1234567.89,35,2,45,3,15.4,1,2024-01-15T10:30:00
45678.90,1,120.5,7654,16,75.8,0,2024-01-15T10:30:00
8765.43,3,65.2,3456,11,68.3,0,2024-01-15T10:30:00
987654.32,42,1,23,4,12.1,1,2024-01-15T10:30:00
15432.10,2,145.7,8901,18,72.5,0,2024-01-15T10:30:00
678901.23,28,5,67,2,18.9,1,2024-01-15T10:30:00
34567.89,1,98.4,6789,13,69.7,0,2024-01-15T10:30:00
123456.78,2,156.3,4567,15,71.2,0,2024-01-15T10:30:00
5432109.87,45,0,12,5,8.3,1,2024-01-15T10:30:00
